model,boundary,t0,t0_chill,T_base,T_opt,T_min,T_max,Tb1t,x,a,Tb2t,y,b,n,c,o,d,e,f,g,h,ii,w,C_ini,F_crit,C_req,P_crit,P_start,L_crit,D_crit,VPD_min,VPD_max,L_min,L_max,k
WM,lower,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
WM,upper,NA,NA,NA,NA,NA,NA,30,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
DM1,lower,NA,NA,10,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
DM1,upper,NA,NA,30,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+05,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
DM2,lower,NA,NA,10,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
DM2,upper,NA,NA,30,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+05,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
DM1Za20,lower,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
DM1Za20,upper,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E+05,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
JM,lower,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
JM,upper,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
DPDI,lower,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,NA,NA,NA,NA,NA
DPDI,upper,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,100,NA,NA,NA,NA,NA
DM1s,lower,NA,NA,10,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
DM1s,upper,NA,NA,30,NA,NA,NA,NA,2,NA,NA,2,NA,NA,1.00E+05,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
DPDIs,lower,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
DPDIs,upper,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,100,NA,100,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
PIAG,lower,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
PIAG,upper,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,250,300,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
DMP,lower,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,-15,-40,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
DMP,upper,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,250,NA,NA,NA,NA,NA,NA,150,40,15,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
