"model","boundary","t0","t0_chill","T_base","T_opt","T_min","T_max","a","b","c","d","e","f","g","w","C_ini","F_crit","C_req","P_crit","L_crit","D_crit","VPD_min","VPD_max","L_min","L_max","k","P_base","P_ini","P_req","T_req","SM_base","SM_req","SM_ini","cdd_thres","T_thres"
"AGSI","lower",NA,NA,NA,NA,-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,2000,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGSI","upper",NA,NA,NA,NA,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,NA,NA,NA,NA,2000,5000,11.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT","lower",1,NA,-10,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT","upper",365,NA,10,NA,NA,NA,500,1000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDD","lower",180,NA,-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDD","upper",365,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DP","lower",NA,NA,NA,NA,NA,NA,-5,0,0,0,-1000,0,0,NA,NA,0,0,NA,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DP","upper",NA,NA,NA,NA,NA,NA,5,100,5,100,0,20,10,NA,NA,100,100,NA,14,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRP","lower",NA,NA,NA,NA,NA,NA,NA,-10,-10,NA,NA,NA,NA,NA,NA,0,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRP","upper",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,2000,NA,50,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIN","lower",NA,NA,NA,NA,NA,NA,-1000,-1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIN","upper",NA,NA,NA,NA,NA,NA,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1","lower",103,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1","upper",365,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1s","lower",1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M1s","upper",365,NA,NA,NA,NA,NA,NA,100,100,NA,NA,5,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
